hidden_layer_dim = 24
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*628288
minibatch_size = 300
num_train_samples_per_sweep = 11628288
num_test_samples = 2907072
Minibatch: 0, Loss: 65979.3733, Error: 6597937.33% 
Minibatch: 500, Loss: 438.7777, Error: 43877.77% 
Minibatch: 1000, Loss: 339.4067, Error: 33940.67% 
Minibatch: 1500, Loss: 472.9992, Error: 47299.92% 
Minibatch: 2000, Loss: 399.9682, Error: 39996.82% 
Minibatch: 2500, Loss: 415.6480, Error: 41564.80% 
Minibatch: 3000, Loss: 377.3040, Error: 37730.40% 
Minibatch: 3500, Loss: 488.0915, Error: 48809.15% 
Minibatch: 4000, Loss: 432.7868, Error: 43278.68% 
Minibatch: 4500, Loss: 365.9989, Error: 36599.89% 
Minibatch: 5000, Loss: 392.8642, Error: 39286.42% 
Minibatch: 5500, Loss: 386.9525, Error: 38695.25% 
Minibatch: 6000, Loss: 421.8901, Error: 42189.01% 
Minibatch: 6500, Loss: 388.1755, Error: 38817.55% 
Minibatch: 7000, Loss: 396.6636, Error: 39666.36% 
Minibatch: 7500, Loss: 359.4937, Error: 35949.37% 
Minibatch: 8000, Loss: 370.6539, Error: 37065.39% 
Minibatch: 8500, Loss: 438.2622, Error: 43826.22% 
Minibatch: 9000, Loss: 410.4842, Error: 41048.42% 
Minibatch: 9500, Loss: 420.0767, Error: 42007.67% 
Minibatch: 10000, Loss: 455.6245, Error: 45562.45% 
Minibatch: 10500, Loss: 412.8298, Error: 41282.98% 
Minibatch: 11000, Loss: 380.7300, Error: 38073.00% 
Minibatch: 11500, Loss: 412.3759, Error: 41237.59% 
Minibatch: 12000, Loss: 388.8334, Error: 38883.34% 
Minibatch: 12500, Loss: 479.2239, Error: 47922.39% 
Minibatch: 13000, Loss: 366.7073, Error: 36670.73% 
Minibatch: 13500, Loss: 391.1191, Error: 39111.91% 
Minibatch: 14000, Loss: 438.5193, Error: 43851.93% 
Minibatch: 14500, Loss: 416.7616, Error: 41676.16% 
Minibatch: 15000, Loss: 341.3511, Error: 34135.11% 
Minibatch: 15500, Loss: 451.0079, Error: 45100.79% 
Minibatch: 16000, Loss: 379.9751, Error: 37997.51% 
Minibatch: 16500, Loss: 364.0242, Error: 36402.42% 
Minibatch: 17000, Loss: 360.1770, Error: 36017.70% 
Minibatch: 17500, Loss: 402.2271, Error: 40222.71% 
Minibatch: 18000, Loss: 437.0190, Error: 43701.90% 
Minibatch: 18500, Loss: 381.7918, Error: 38179.18% 
Minibatch: 19000, Loss: 397.3081, Error: 39730.81% 
Minibatch: 19500, Loss: 446.9744, Error: 44697.44% 
Minibatch: 20000, Loss: 417.9761, Error: 41797.61% 
Minibatch: 20500, Loss: 406.0367, Error: 40603.67% 
Minibatch: 21000, Loss: 371.8151, Error: 37181.51% 
Minibatch: 21500, Loss: 333.8526, Error: 33385.26% 
Minibatch: 22000, Loss: 337.5309, Error: 33753.09% 
Minibatch: 22500, Loss: 351.4773, Error: 35147.73% 
Minibatch: 23000, Loss: 343.5158, Error: 34351.58% 
Minibatch: 23500, Loss: 420.0508, Error: 42005.08% 
Minibatch: 24000, Loss: 349.3537, Error: 34935.37% 
Minibatch: 24500, Loss: 481.7174, Error: 48171.74% 
Minibatch: 25000, Loss: 371.9229, Error: 37192.29% 
Minibatch: 25500, Loss: 362.6687, Error: 36266.87% 
Minibatch: 26000, Loss: 358.7517, Error: 35875.17% 
Minibatch: 26500, Loss: 430.7541, Error: 43075.41% 
Minibatch: 27000, Loss: 391.7160, Error: 39171.60% 
Minibatch: 27500, Loss: 350.0555, Error: 35005.55% 
Minibatch: 28000, Loss: 385.4600, Error: 38546.00% 
Minibatch: 28500, Loss: 383.2460, Error: 38324.60% 
Minibatch: 29000, Loss: 345.4107, Error: 34541.07% 
Minibatch: 29500, Loss: 409.6873, Error: 40968.73% 
Minibatch: 30000, Loss: 328.9426, Error: 32894.26% 
Minibatch: 30500, Loss: 373.1008, Error: 37310.08% 
Minibatch: 31000, Loss: 434.7013, Error: 43470.12% 
Minibatch: 31500, Loss: 440.1045, Error: 44010.45% 
Minibatch: 32000, Loss: 362.0158, Error: 36201.58% 
Minibatch: 32500, Loss: 371.4484, Error: 37144.84% 
Minibatch: 33000, Loss: 432.2270, Error: 43222.70% 
Minibatch: 33500, Loss: 356.5185, Error: 35651.85% 
Minibatch: 34000, Loss: 417.6530, Error: 41765.30% 
Minibatch: 34500, Loss: 370.2567, Error: 37025.67% 
Minibatch: 35000, Loss: 415.5494, Error: 41554.94% 
Minibatch: 35500, Loss: 366.1415, Error: 36614.15% 
Minibatch: 36000, Loss: 417.5777, Error: 41757.77% 
Minibatch: 36500, Loss: 366.2795, Error: 36627.95% 
Minibatch: 37000, Loss: 420.0031, Error: 42000.31% 
Minibatch: 37500, Loss: 353.9646, Error: 35396.46% 
Minibatch: 38000, Loss: 405.4216, Error: 40542.16% 
Minibatch: 38500, Loss: 400.2561, Error: 40025.61% 
Minibatch: 39000, Loss: 362.5220, Error: 36252.20% 
Minibatch: 39500, Loss: 371.0839, Error: 37108.39% 
Minibatch: 40000, Loss: 328.9789, Error: 32897.89% 
Minibatch: 40500, Loss: 360.3180, Error: 36031.80% 
Minibatch: 41000, Loss: 371.1000, Error: 37110.00% 
Minibatch: 41500, Loss: 397.6293, Error: 39762.93% 
Minibatch: 42000, Loss: 525.5580, Error: 52555.80% 
Minibatch: 42500, Loss: 476.7735, Error: 47677.35% 
Minibatch: 43000, Loss: 389.5419, Error: 38954.19% 
Minibatch: 43500, Loss: 384.6740, Error: 38467.40% 
Minibatch: 44000, Loss: 388.3188, Error: 38831.88% 
Minibatch: 44500, Loss: 370.4605, Error: 37046.05% 
Minibatch: 45000, Loss: 309.4419, Error: 30944.19% 
Minibatch: 45500, Loss: 356.2953, Error: 35629.53% 
Minibatch: 46000, Loss: 344.3729, Error: 34437.29% 
Minibatch: 46500, Loss: 499.8185, Error: 49981.85% 
Minibatch: 47000, Loss: 319.7527, Error: 31975.27% 
Minibatch: 47500, Loss: 363.1117, Error: 36311.17% 
Minibatch: 48000, Loss: 330.3120, Error: 33031.20% 
Minibatch: 48500, Loss: 392.9398, Error: 39293.98% 
Minibatch: 49000, Loss: 346.4885, Error: 34648.85% 
Minibatch: 49500, Loss: 478.1004, Error: 47810.04% 
Minibatch: 50000, Loss: 390.5619, Error: 39056.19% 
Minibatch: 50500, Loss: 306.1973, Error: 30619.73% 
Minibatch: 51000, Loss: 347.7842, Error: 34778.42% 
Minibatch: 51500, Loss: 378.7736, Error: 37877.36% 
Minibatch: 52000, Loss: 379.5938, Error: 37959.38% 
Minibatch: 52500, Loss: 366.2657, Error: 36626.57% 
Minibatch: 53000, Loss: 423.8373, Error: 42383.73% 
Minibatch: 53500, Loss: 395.2656, Error: 39526.56% 
Minibatch: 54000, Loss: 364.9500, Error: 36495.00% 
Minibatch: 54500, Loss: 451.5822, Error: 45158.22% 
Minibatch: 55000, Loss: 343.3660, Error: 34336.60% 
Minibatch: 55500, Loss: 371.9776, Error: 37197.76% 
Minibatch: 56000, Loss: 378.0748, Error: 37807.48% 
Minibatch: 56500, Loss: 377.6189, Error: 37761.89% 
Minibatch: 57000, Loss: 359.9627, Error: 35996.27% 
Minibatch: 57500, Loss: 417.3157, Error: 41731.57% 
Minibatch: 58000, Loss: 347.4862, Error: 34748.62% 
Minibatch: 58500, Loss: 379.2032, Error: 37920.32% 
Minibatch: 59000, Loss: 378.8240, Error: 37882.40% 
Minibatch: 59500, Loss: 385.0154, Error: 38501.54% 
Minibatch: 60000, Loss: 303.3183, Error: 30331.83% 
Minibatch: 60500, Loss: 397.4726, Error: 39747.26% 
Minibatch: 61000, Loss: 382.1139, Error: 38211.39% 
Minibatch: 61500, Loss: 329.9299, Error: 32992.99% 
Minibatch: 62000, Loss: 448.5005, Error: 44850.05% 
Minibatch: 62500, Loss: 385.7335, Error: 38573.35% 
Minibatch: 63000, Loss: 418.0479, Error: 41804.79% 
Minibatch: 63500, Loss: 502.9772, Error: 50297.72% 
Minibatch: 64000, Loss: 363.0242, Error: 36302.42% 
Minibatch: 64500, Loss: 394.8928, Error: 39489.28% 
Minibatch: 65000, Loss: 406.0104, Error: 40601.04% 
Minibatch: 65500, Loss: 361.3151, Error: 36131.51% 
Minibatch: 66000, Loss: 563.4654, Error: 56346.54% 
Minibatch: 66500, Loss: 382.4293, Error: 38242.93% 
Minibatch: 67000, Loss: 385.1249, Error: 38512.49% 
Minibatch: 67500, Loss: 369.9472, Error: 36994.72% 
Minibatch: 68000, Loss: 404.6446, Error: 40464.46% 
Minibatch: 68500, Loss: 388.2202, Error: 38822.02% 
Minibatch: 69000, Loss: 367.2218, Error: 36722.18% 
Minibatch: 69500, Loss: 373.7315, Error: 37373.15% 
Minibatch: 70000, Loss: 318.0513, Error: 31805.13% 
Minibatch: 70500, Loss: 348.2707, Error: 34827.07% 
Minibatch: 71000, Loss: 403.4543, Error: 40345.43% 
Minibatch: 71500, Loss: 362.1643, Error: 36216.43% 
Minibatch: 72000, Loss: 372.7380, Error: 37273.80% 
Minibatch: 72500, Loss: 373.0949, Error: 37309.49% 
Minibatch: 73000, Loss: 405.1209, Error: 40512.09% 
Minibatch: 73500, Loss: 492.6523, Error: 49265.23% 
Minibatch: 74000, Loss: 448.4383, Error: 44843.83% 
Minibatch: 74500, Loss: 327.6589, Error: 32765.89% 
Minibatch: 75000, Loss: 446.3732, Error: 44637.32% 
Minibatch: 75500, Loss: 397.9730, Error: 39797.30% 
Minibatch: 76000, Loss: 372.1325, Error: 37213.25% 
Minibatch: 76500, Loss: 365.2240, Error: 36522.40% 
Minibatch: 77000, Loss: 351.1397, Error: 35113.97% 
Minibatch: 77500, Loss: 399.8291, Error: 39982.91% 
Minibatch: 78000, Loss: 370.5689, Error: 37056.89% 
Minibatch: 78500, Loss: 345.1747, Error: 34517.47% 
Minibatch: 79000, Loss: 364.7669, Error: 36476.69% 
Minibatch: 79500, Loss: 438.7697, Error: 43876.97% 
Minibatch: 80000, Loss: 346.8426, Error: 34684.26% 
Minibatch: 80500, Loss: 411.5223, Error: 41152.23% 
Minibatch: 81000, Loss: 332.2326, Error: 33223.26% 
Minibatch: 81500, Loss: 363.2447, Error: 36324.47% 
Minibatch: 82000, Loss: 403.8346, Error: 40383.46% 
Minibatch: 82500, Loss: 356.3758, Error: 35637.58% 
Minibatch: 83000, Loss: 406.2854, Error: 40628.54% 
Minibatch: 83500, Loss: 290.6157, Error: 29061.57% 
Minibatch: 84000, Loss: 377.5738, Error: 37757.38% 
Minibatch: 84500, Loss: 342.5497, Error: 34254.97% 
Minibatch: 85000, Loss: 381.4408, Error: 38144.08% 
Minibatch: 85500, Loss: 318.1714, Error: 31817.14% 
Minibatch: 86000, Loss: 366.2823, Error: 36628.23% 
Minibatch: 86500, Loss: 353.6421, Error: 35364.21% 
Minibatch: 87000, Loss: 336.3150, Error: 33631.50% 
Minibatch: 87500, Loss: 348.8215, Error: 34882.15% 
Minibatch: 88000, Loss: 401.0825, Error: 40108.25% 
Minibatch: 88500, Loss: 363.8588, Error: 36385.88% 
Minibatch: 89000, Loss: 345.7558, Error: 34575.58% 
Minibatch: 89500, Loss: 391.4390, Error: 39143.90% 
Minibatch: 90000, Loss: 394.9759, Error: 39497.59% 
Minibatch: 90500, Loss: 464.9501, Error: 46495.01% 
Minibatch: 91000, Loss: 425.7010, Error: 42570.10% 
Minibatch: 91500, Loss: 349.6391, Error: 34963.91% 
Minibatch: 92000, Loss: 399.1055, Error: 39910.55% 
Minibatch: 92500, Loss: 429.3927, Error: 42939.27% 
Minibatch: 93000, Loss: 408.7137, Error: 40871.37% 
Minibatch: 93500, Loss: 397.1511, Error: 39715.11% 
Minibatch: 94000, Loss: 349.4314, Error: 34943.14% 
Minibatch: 94500, Loss: 333.0007, Error: 33300.07% 
Minibatch: 95000, Loss: 364.7684, Error: 36476.84% 
Minibatch: 95500, Loss: 352.8162, Error: 35281.62% 
Minibatch: 96000, Loss: 371.2871, Error: 37128.71% 
Minibatch: 96500, Loss: 365.5826, Error: 36558.26% 
Minibatch: 97000, Loss: 316.4514, Error: 31645.14% 
Minibatch: 97500, Loss: 382.6605, Error: 38266.05% 
Minibatch: 98000, Loss: 386.0848, Error: 38608.48% 
Minibatch: 98500, Loss: 329.0258, Error: 32902.58% 
Minibatch: 99000, Loss: 339.4929, Error: 33949.29% 
Minibatch: 99500, Loss: 370.0938, Error: 37009.38% 
Minibatch: 100000, Loss: 337.7591, Error: 33775.91% 
Minibatch: 100500, Loss: 375.1692, Error: 37516.92% 
Minibatch: 101000, Loss: 325.9189, Error: 32591.89% 
Minibatch: 101500, Loss: 431.7237, Error: 43172.38% 
