hidden_layer_dim = 18
learning_rate = 1.5e-05
minibatch_size = 200
num_train_samples_per_sweep = 259308
num_test_samples = 2646
Minibatch: 0, Loss: 38054.9825, Error: 3805498.25% 
Minibatch: 500, Loss: 11252.2463, Error: 1125224.62% 
Minibatch: 1000, Loss: 1837.2141, Error: 183721.41% 
Minibatch: 1500, Loss: 801.3854, Error: 80138.54% 
Minibatch: 2000, Loss: 486.0342, Error: 48603.42% 
Minibatch: 2500, Loss: 402.9967, Error: 40299.67% 
Minibatch: 3000, Loss: 316.9954, Error: 31699.54% 
Minibatch: 3500, Loss: 367.7404, Error: 36774.04% 
Minibatch: 4000, Loss: 345.5621, Error: 34556.21% 
Minibatch: 4500, Loss: 354.4512, Error: 35445.12% 
Minibatch: 5000, Loss: 352.9504, Error: 35295.04% 
Minibatch: 5500, Loss: 292.7680, Error: 29276.80% 
Minibatch: 6000, Loss: 286.7487, Error: 28674.87% 
Minibatch: 6500, Loss: 372.2325, Error: 37223.25% 
Minibatch: 7000, Loss: 283.3667, Error: 28336.67% 
Minibatch: 7500, Loss: 232.0889, Error: 23208.89% 
Minibatch: 8000, Loss: 405.6516, Error: 40565.16% 
Minibatch: 8500, Loss: 334.0771, Error: 33407.71% 
Minibatch: 9000, Loss: 426.4909, Error: 42649.09% 
Minibatch: 9500, Loss: 271.2733, Error: 27127.33% 
Minibatch: 10000, Loss: 383.5891, Error: 38358.91% 
Minibatch: 10500, Loss: 384.9146, Error: 38491.46% 
Minibatch: 11000, Loss: 230.6820, Error: 23068.20% 
Minibatch: 11500, Loss: 351.2533, Error: 35125.33% 
Minibatch: 12000, Loss: 285.1537, Error: 28515.37% 
Minibatch: 12500, Loss: 296.1986, Error: 29619.86% 
Label-Feature Diff = [13.0, 22.0, 6.0]
Label-Predict Diff = [11.0, 8.0, 19.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [10.0, 7.0, 18.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [10.0, 7.0, 18.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [10.0, 7.0, 18.0]

Label-Feature Diff = [10.0, 19.0, 3.0]
Label-Predict Diff = [8.0, 5.0, 15.0]

Label-Feature Diff = [14.0, 23.0, 7.0]
Label-Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label-Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [19.0, 28.0, 12.0]
Label-Predict Diff = [16.0, 14.0, 25.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label-Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label-Predict Diff = [11.0, 8.0, 19.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label-Predict Diff = [11.0, 8.0, 19.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label-Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [20.0, 29.0, 13.0]
Label-Predict Diff = [16.0, 15.0, 26.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label-Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label-Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label-Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [20.0, 29.0, 13.0]
Label-Predict Diff = [16.0, 15.0, 26.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
