hidden_layer_dim = 18
learning_rate = 1.1e-05
minibatch_size = 100
num_train_samples_per_sweep = 259308
num_test_samples = 2646
Minibatch: 0, Loss: 40263.1725, Error: 4026317.25% 
Minibatch: 500, Loss: 30233.6175, Error: 3023361.75% 
Minibatch: 1000, Loss: 2844.4272, Error: 284442.72% 
Minibatch: 1500, Loss: 1321.0630, Error: 132106.30% 
Minibatch: 2000, Loss: 775.5612, Error: 77556.12% 
Minibatch: 2500, Loss: 514.7745, Error: 51477.45% 
Minibatch: 3000, Loss: 419.9740, Error: 41997.40% 
Minibatch: 3500, Loss: 378.9979, Error: 37899.79% 
Minibatch: 4000, Loss: 407.4881, Error: 40748.81% 
Minibatch: 4500, Loss: 642.2107, Error: 64221.07% 
Minibatch: 5000, Loss: 393.8956, Error: 39389.56% 
Minibatch: 5500, Loss: 374.8231, Error: 37482.31% 
Minibatch: 6000, Loss: 351.6556, Error: 35165.56% 
Minibatch: 6500, Loss: 368.6523, Error: 36865.23% 
Minibatch: 7000, Loss: 453.8511, Error: 45385.11% 
Minibatch: 7500, Loss: 288.6526, Error: 28865.26% 
Minibatch: 8000, Loss: 329.7219, Error: 32972.19% 
Minibatch: 8500, Loss: 297.6280, Error: 29762.80% 
Minibatch: 9000, Loss: 364.4502, Error: 36445.02% 
Minibatch: 9500, Loss: 389.5914, Error: 38959.14% 
Minibatch: 10000, Loss: 319.0067, Error: 31900.67% 
Minibatch: 10500, Loss: 298.9026, Error: 29890.26% 
Minibatch: 11000, Loss: 337.6077, Error: 33760.77% 
Minibatch: 11500, Loss: 332.6892, Error: 33268.92% 
Minibatch: 12000, Loss: 322.0415, Error: 32204.15% 
Minibatch: 12500, Loss: 335.7371, Error: 33573.71% 
Minibatch: 13000, Loss: 543.7660, Error: 54376.60% 
Minibatch: 13500, Loss: 320.2062, Error: 32020.62% 
Minibatch: 14000, Loss: 305.2574, Error: 30525.74% 
Minibatch: 14500, Loss: 347.0566, Error: 34705.66% 
Minibatch: 15000, Loss: 256.1013, Error: 25610.13% 
Minibatch: 15500, Loss: 390.6493, Error: 39064.93% 
Minibatch: 16000, Loss: 321.6527, Error: 32165.27% 
Minibatch: 16500, Loss: 415.6064, Error: 41560.64% 
Minibatch: 17000, Loss: 378.1266, Error: 37812.66% 
Minibatch: 17500, Loss: 315.9129, Error: 31591.29% 
Minibatch: 18000, Loss: 462.7177, Error: 46271.77% 
