hidden_layer_dim = 6
learning_rate = 1.3e-05
minibatch_size = 200
num_train_samples_per_sweep = 259308
num_test_samples = 2646
Minibatch: 0, Loss: 38208.7725, Error: 3820877.25% 
Minibatch: 500, Loss: 21381.4150, Error: 2138141.50% 
Minibatch: 1000, Loss: 2855.4847, Error: 285548.47% 
Minibatch: 1500, Loss: 1669.3078, Error: 166930.78% 
Minibatch: 2000, Loss: 1207.6796, Error: 120767.96% 
Minibatch: 2500, Loss: 1077.7956, Error: 107779.56% 
Minibatch: 3000, Loss: 1010.0731, Error: 101007.31% 
Minibatch: 3500, Loss: 959.9663, Error: 95996.63% 
Minibatch: 4000, Loss: 725.8904, Error: 72589.04% 
Minibatch: 4500, Loss: 644.7940, Error: 64479.40% 
Minibatch: 5000, Loss: 558.8901, Error: 55889.01% 
Minibatch: 5500, Loss: 476.9683, Error: 47696.83% 
Minibatch: 6000, Loss: 432.0606, Error: 43206.06% 
Minibatch: 6500, Loss: 503.8670, Error: 50386.70% 
Minibatch: 7000, Loss: 404.1962, Error: 40419.62% 
Minibatch: 7500, Loss: 334.8251, Error: 33482.51% 
Minibatch: 8000, Loss: 523.5357, Error: 52353.57% 
Minibatch: 8500, Loss: 450.8180, Error: 45081.80% 
Minibatch: 9000, Loss: 533.3251, Error: 53332.51% 
Minibatch: 9500, Loss: 349.8759, Error: 34987.59% 
Minibatch: 10000, Loss: 510.7007, Error: 51070.07% 
Minibatch: 10500, Loss: 511.1973, Error: 51119.73% 
Minibatch: 11000, Loss: 349.9268, Error: 34992.68% 
Minibatch: 11500, Loss: 523.9670, Error: 52396.70% 
Minibatch: 12000, Loss: 411.8475, Error: 41184.75% 
Minibatch: 12500, Loss: 428.9633, Error: 42896.33% 
Label-Feature Diff = [13.0, 22.0, 6.0]
Label-Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [12.0, 9.0, 21.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [12.0, 9.0, 21.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [15.0, 12.0, 24.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [15.0, 12.0, 24.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [15.0, 12.0, 24.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [15.0, 12.0, 24.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [14.0, 11.0, 23.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [12.0, 9.0, 21.0]

Label-Feature Diff = [10.0, 19.0, 3.0]
Label-Predict Diff = [11.0, 8.0, 21.0]

Label-Feature Diff = [14.0, 23.0, 7.0]
Label-Predict Diff = [13.0, 10.0, 22.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [14.0, 11.0, 23.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
